 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/10/2007 16:29:06                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


702 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000402 0x019D6848 0x00000018 0x019D6838 0x00000038 0x00000000 new         N       N    ??(0) ??
000403 0x019D6888 0x00000024 0x019D6878 0x00000044 0x00000000 new         N       N    ??(0) ??
000404 0x019D68D8 0x0000003C 0x019D68C8 0x0000005C 0x00000000 new         N       N    ??(0) ??
000405 0x019D6940 0x00000018 0x019D6930 0x00000038 0x00000000 new         N       N    ??(0) ??
000406 0x019D6980 0x00000024 0x019D6970 0x00000044 0x00000000 new         N       N    ??(0) ??
000407 0x019D69D0 0x0000003C 0x019D69C0 0x0000005C 0x00000000 new         N       N    ??(0) ??
000408 0x019D6A38 0x00000018 0x019D6A28 0x00000038 0x00000000 new         N       N    ??(0) ??
000409 0x019D6A78 0x00000024 0x019D6A68 0x00000044 0x00000000 new         N       N    ??(0) ??
000410 0x019D6AC8 0x0000003C 0x019D6AB8 0x0000005C 0x00000000 new         N       N    ??(0) ??
000411 0x019D6B30 0x00000018 0x019D6B20 0x00000038 0x00000000 new         N       N    ??(0) ??
000412 0x019D6B70 0x00000024 0x019D6B60 0x00000044 0x00000000 new         N       N    ??(0) ??
000413 0x019D6BC0 0x0000003C 0x019D6BB0 0x0000005C 0x00000000 new         N       N    ??(0) ??
000414 0x019D6C28 0x00000018 0x019D6C18 0x00000038 0x00000000 new         N       N    ??(0) ??
000415 0x019D6C68 0x00000024 0x019D6C58 0x00000044 0x00000000 new         N       N    ??(0) ??
000416 0x019D6CB8 0x0000003C 0x019D6CA8 0x0000005C 0x00000000 new         N       N    ??(0) ??
000417 0x019D6D20 0x00000018 0x019D6D10 0x00000038 0x00000000 new         N       N    ??(0) ??
000418 0x019D6D60 0x00000024 0x019D6D50 0x00000044 0x00000000 new         N       N    ??(0) ??
000419 0x019D6DB0 0x0000003C 0x019D6DA0 0x0000005C 0x00000000 new         N       N    ??(0) ??
000420 0x019D6E18 0x00000018 0x019D6E08 0x00000038 0x00000000 new         N       N    ??(0) ??
000421 0x019D6E58 0x00000024 0x019D6E48 0x00000044 0x00000000 new         N       N    ??(0) ??
000422 0x019D6EA8 0x0000003C 0x019D6E98 0x0000005C 0x00000000 new         N       N    ??(0) ??
000423 0x019D6F10 0x00000018 0x019D6F00 0x00000038 0x00000000 new         N       N    ??(0) ??
000424 0x019D6F50 0x00000024 0x019D6F40 0x00000044 0x00000000 new         N       N    ??(0) ??
000425 0x019D6FA0 0x0000003C 0x019D6F90 0x0000005C 0x00000000 new         N       N    ??(0) ??
000426 0x019D7008 0x00000018 0x019D6FF8 0x00000038 0x00000000 new         N       N    ??(0) ??
000427 0x019D7088 0x00000001 0x019D7078 0x00000021 0x00000000 new         N       N    main.cpp(9) ???
000429 0x019D70F0 0x0000001E 0x019D70E0 0x0000003E 0x00000000 new         N       N    ??(0) ??
000430 0x019D7138 0x00000019 0x019D7128 0x00000039 0x00000000 new         N       N    ??(0) ??
000431 0x019D7180 0x0000019C 0x019D7170 0x000001BC 0x00000000 new         N       N    ??(0) ??
000479 0x019D7348 0x0000000D 0x019D7338 0x0000002D 0x00000000 new         N       N    ??(0) ??
000485 0x019D7380 0x0000000D 0x019D7370 0x0000002D 0x00000000 new         N       N    ??(0) ??
000434 0x019DEFC0 0x00000020 0x019DEFB0 0x00000040 0x00000000 new         N       N    ??(0) ??
000435 0x019DF008 0x00000200 0x019DEFF8 0x00000220 0x00000000 new         N       N    ??(0) ??
000436 0x019DF230 0x00000020 0x019DF220 0x00000040 0x00000000 new         N       N    ??(0) ??
000437 0x019DF278 0x00000200 0x019DF268 0x00000220 0x00000000 new         N       N    ??(0) ??
000438 0x019DF4A0 0x00000020 0x019DF490 0x00000040 0x00000000 new         N       N    ??(0) ??
000439 0x019DF4E8 0x00000200 0x019DF4D8 0x00000220 0x00000000 new         N       N    ??(0) ??
001249 0x019DF710 0x0000000C 0x019DF700 0x0000002C 0x00000000 new         N       N    OgreGLEngineDll.cpp(40) ???
