 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/24/2007 13:33:50                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


1354 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000486 0x01A073B8 0x0000000D 0x01A073A8 0x0000002D 0x00000000 new         N       N    ??(0) ??
000434 0x01A0EFF8 0x00000020 0x01A0EFE8 0x00000040 0x00000000 new         N       N    ??(0) ??
074320 0x01A0F040 0x00000200 0x01A0F030 0x00000220 0x00000000 new         N       N    ??(0) ??
000436 0x01A0F268 0x00000020 0x01A0F258 0x00000040 0x00000000 new         N       N    ??(0) ??
074318 0x01A0F2B0 0x00000200 0x01A0F2A0 0x00000220 0x00000000 new         N       N    ??(0) ??
000438 0x01A0F4D8 0x00000020 0x01A0F4C8 0x00000040 0x00000000 new         N       N    ??(0) ??
001250 0x01A0F748 0x0000000C 0x01A0F738 0x0000002C 0x00000000 new         N       N    OgreGLEngineDll.cpp(40) ???
000466 0x01A0F780 0x0000001C 0x01A0F770 0x0000003C 0x00000000 new         N       N    OgreRoot.cpp(130) ???
000745 0x01A0F7F0 0x00000010 0x01A0F7E0 0x00000030 0x00000000 new         N       N    ??(0) ??
000778 0x01A0F828 0x0000000C 0x01A0F818 0x0000002C 0x00000000 new         N       N    OgreFreeImageCodec.cpp(93) ???
000474 0x01A0F860 0x0000000D 0x01A0F850 0x0000002D 0x00000000 new         N       N    ??(0) ??
000492 0x01A0F898 0x0000000C 0x01A0F888 0x0000002C 0x00000000 new         N       N    ??(0) ??
000465 0x01A0F8D8 0x00000018 0x01A0F8C8 0x00000038 0x00000000 new         N       N    ??(0) ??
000475 0x01A0F918 0x00000018 0x01A0F908 0x00000038 0x00000000 new         N       N    ??(0) ??
000481 0x01A0F958 0x00000018 0x01A0F948 0x00000038 0x00000000 new         N       N    ??(0) ??
000487 0x01A0F998 0x00000018 0x01A0F988 0x00000038 0x00000000 new         N       N    ??(0) ??
000462 0x01A0F9D8 0x0000001C 0x01A0F9C8 0x0000003C 0x00000000 new         N       N    OgreRoot.cpp(125) ???
000461 0x01A0FA20 0x0000001E 0x01A0FA10 0x0000003E 0x00000000 new         N       N    ??(0) ??
000463 0x01A0FA68 0x00000110 0x01A0FA58 0x00000130 0x00000000 new         N       N    OgreLogManager.cpp(68) ???
000464 0x01A0FBA0 0x00000200 0x01A0FB90 0x00000220 0x00000000 new[]       N       N    ??(0) ??
000568 0x01A0FDC8 0x0000002D 0x01A0FDB8 0x0000004D 0x00000000 new         N       N    ??(0) ??
000472 0x01A0FE20 0x00000068 0x01A0FE10 0x00000088 0x00000000 new         N       N    OgreResourceGroupManager.cpp(95) ???
000478 0x01A0FEB0 0x00000068 0x01A0FEA0 0x00000088 0x00000000 new         N       N    OgreResourceGroupManager.cpp(95) ???
000484 0x01A0FF40 0x00000068 0x01A0FF30 0x00000088 0x00000000 new         N       N    OgreResourceGroupManager.cpp(95) ???
000488 0x01A0FFD0 0x00000038 0x01A0FFC0 0x00000058 0x00000000 new         N       N    OgreRoot.cpp(138) ???
000493 0x01A10030 0x00000026 0x01A10020 0x00000046 0x00000000 new         N       N    ??(0) ??
000494 0x01A10080 0x00000004 0x01A10070 0x00000024 0x00000000 new         N       N    ??(0) ??
001760 0x01A100B0 0x00000040 0x01A100A0 0x00000060 0x00000000 new         N       N    ??(0) ??
000689 0x01A10118 0x00000050 0x01A10108 0x00000070 0x00000000 new         N       N    OgreRoot.cpp(153) ???
000498 0x01A10190 0x00000020 0x01A10180 0x00000040 0x00000000 new         N       N    OgreRoot.cpp(144) ???
000499 0x01A101D8 0x00000094 0x01A101C8 0x000000B4 0x00000000 new         N       N    OgreRoot.cpp(147) ???
000500 0x01A10298 0x00000304 0x01A10288 0x00000324 0x00000000 new         N       N    ??(0) ??
000503 0x01A105C8 0x00000164 0x01A105B8 0x00000184 0x00000000 new         N       N    OgreMaterialManager.cpp(76) ???
000506 0x01A107C8 0x0000000D 0x01A107B8 0x0000002D 0x00000000 new         N       N    ??(0) ??
000507 0x01A10800 0x0000000D 0x01A107F0 0x0000002D 0x00000000 new         N       N    ??(0) ??
000508 0x01A10838 0x00000015 0x01A10828 0x00000035 0x00000000 new         N       N    ??(0) ??
000509 0x01A10878 0x00000018 0x01A10868 0x00000038 0x00000000 new         N       N    ??(0) ??
000510 0x01A108B8 0x0000001B 0x01A108A8 0x0000003B 0x00000000 new         N       N    ??(0) ??
000511 0x01A10900 0x00000018 0x01A108F0 0x00000038 0x00000000 new         N       N    ??(0) ??
000512 0x01A10940 0x0000001D 0x01A10930 0x0000003D 0x00000000 new         N       N    ??(0) ??
000513 0x01A10988 0x00000018 0x01A10978 0x00000038 0x00000000 new         N       N    ??(0) ??
000514 0x01A109C8 0x0000001A 0x01A109B8 0x0000003A 0x00000000 new         N       N    ??(0) ??
000515 0x01A10A10 0x00000018 0x01A10A00 0x00000038 0x00000000 new         N       N    ??(0) ??
000516 0x01A10A50 0x0000001C 0x01A10A40 0x0000003C 0x00000000 new         N       N    ??(0) ??
000517 0x01A10A98 0x00000018 0x01A10A88 0x00000038 0x00000000 new         N       N    ??(0) ??
000518 0x01A10AD8 0x00000027 0x01A10AC8 0x00000047 0x00000000 new         N       N    ??(0) ??
000519 0x01A10B28 0x00000018 0x01A10B18 0x00000038 0x00000000 new         N       N    ??(0) ??
000520 0x01A10B68 0x00000016 0x01A10B58 0x00000036 0x00000000 new         N       N    ??(0) ??
000521 0x01A10BA8 0x00000018 0x01A10B98 0x00000038 0x00000000 new         N       N    ??(0) ??
000522 0x01A10BE8 0x0000001E 0x01A10BD8 0x0000003E 0x00000000 new         N       N    ??(0) ??
